0.0001	AA
0.002	AB
0.0033	AC
0.0052	AD
0	AE
0.0012	AF
0.0018	AG
0.0005	AH
0.0039	AI
0.0001	AJ
0.0012	AK
0.0057	AL
0.0026	AM
0.0181	AN
0.0001	AO
0.002	AP
0.0001	AQ
0.0075	AR
0.0095	AS
0.0104	AT
0.0009	AU
0.002	AV
0.0013	AW
0.0001	AX
0.0026	AY
0.0001	AZ
0.0011	BA
0.0001	BB
0	BC
0	BD
0.0047	BE
0	BF
0	BG
0	BH
0.0006	BI
0.0001	BJ
0	BK
0.0017	BL
0	BM
0	BN
0.0019	BO
0	BP
0	BQ
0.0011	BR
0.0002	BS
0.0001	BT
0.0021	BU
0	BV
0	BW
0	BX
0.0011	BY
0	BZ
0.0031	CA
0	CB
0.0004	CC
0	CD
0.0038	CE
0	CF
0	CG
0.0038	CH
0.001	CI
0	CJ
0.0018	CK
0.0009	CL
0	CM
0	CN
0.0045	CO
0	CP
0.0001	CQ
0.0011	CR
0.0001	CS
0.0015	CT
0.0007	CU
0	CV
0	CW
0	CX
0.0001	CY
0	CZ
0.0048	DA
0.002	DB
0.0009	DC
0.0013	DD
0.0057	DE
0.0011	DF
0.0007	DG
0.0025	DH
0.005	DI
0.0003	DJ
0.0001	DK
0.0011	DL
0.0014	DM
0.0016	DN
0.0041	DO
0.0006	DP
0	DQ
0.0014	DR
0.0035	DS
0.0056	DT
0.001	DU
0.0002	DV
0.0019	DW
0	DX
0.001	DY
0	DZ
0.011	EA
0.0023	EB
0.0045	EC
0.0126	ED
0.0048	EE
0.003	EF
0.0015	EG
0.0033	EH
0.0041	EI
0.0003	EJ
0.0005	EK
0.0055	EL
0.0047	EM
0.0111	EN
0.0033	EO
0.0028	EP
0.0002	EQ
0.0169	ER
0.0115	ES
0.0083	ET
0.0006	EU
0.0024	EV
0.005	EW
0.0009	EX
0.0026	EY
0	EZ
0.0025	FA
0.0002	FB
0.0003	FC
0.0002	FD
0.002	FE
0.0011	FF
0.0001	FG
0.0008	FH
0.0023	FI
0.0001	FJ
0	FK
0.0008	FL
0.0005	FM
0.0001	FN
0.004	FO
0.0002	FP
0	FQ
0.0016	FR
0.0005	FS
0.0037	FT
0.0008	FU
0	FV
0.0003	FW
0	FX
0.0002	FY
0	FZ
0.0024	GA
0.0003	GB
0.0002	GC
0.0002	GD
0.0028	GE
0.0003	GF
0.0004	GG
0.0035	GH
0.0018	GI
0.0001	GJ
0	GK
0.0007	GL
0.0003	GM
0.0004	GN
0.0023	GO
0.0001	GP
0	GQ
0.0012	GR
0.0009	GS
0.0016	GT
0.0007	GU
0	GV
0.0005	GW
0	GX
0.0001	GY
0	GZ
0.0114	HA
0.0002	HB
0.0002	HC
0.0001	HD
0.0302	HE
0.0002	HF
0.0001	HG
0.0006	HH
0.0097	HI
0	HJ
0	HK
0.0002	HL
0.0003	HM
0.0001	HN
0.0049	HO
0.0001	HP
0	HQ
0.0008	HR
0.0005	HS
0.0032	HT
0.0008	HU
0	HV
0.0004	HW
0	HX
0.0004	HY
0	HZ
0.001	IA
0.0005	IB
0.0032	IC
0.0033	ID
0.0023	IE
0.0017	IF
0.0025	IG
0.0006	IH
0.0001	II
0.0001	IJ
0.0008	IK
0.0037	IL
0.0037	IM
0.0179	IN
0.0024	IO
0.0006	IP
0	IQ
0.0027	IR
0.0086	IS
0.0093	IT
0.0001	IU
0.0014	IV
0.0007	IW
0.0002	IX
0	IY
0.0002	IZ
